Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brunei Darussalam,BRN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,1285.22125,1233.928082,2337.323318,3890.027251,4683.754033,5966.67013,6234.64499,5640.218659,5687.493765,7252.048509,6769.170265,7050.326748,7207.481648,8033.440265,8141.097849,6910.735336,6866.65954,5541.045938,6248.552793,6766.202658,7438.262038,7783.232736,7299.532663,6603.066579,7718.414711,7585.308657,7652.680694,7448.312776,7427.447777,7306.508055,6624.445702,6344.709536,7227.934615,6509.413757,6180.901861,8644.256134,8703.66547,9379.395471,7906.164503,8261.092769,9699.300252,9446.072907,7399.888507,8529.793038,6437.002474,7008.28172,8385.25859,8304.042428,9219.803393,9175.892572,8962.623256,9537.051561,,
Bhutan,BTN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9875833,,,,,,,,,,,,,,276.6915074,308.2199542,314.5502602,359.5420848,,,,,,,,,,,,,,,,,
Botswana,BWA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,778.0918684,783.7573531,763.312071,751.9821715,767.2122965,812.306897,781.8585735,893.0727914,928.2265086,933.1061125,924.8328096,1036.202951,1009.967227,967.997723,965.6867953,919.406031,942.699774,1040.821176,1051.854813,1070.361197,1060.851327,1057.526048,1035.717682,1076.411444,1090.975601,1096.757744,1117.658743,1158.359177,1054.28611,1130.549924,1069.645258,1197.221546,1240.353338,1333.166362,1308.134452,1245.115705,1280.407473,1343.698473,1241.677932,1119.82959,1142.897986,1165.149687,,
Central African Republic,CAF,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,4251.353538,4307.820754,4451.560116,4694.12007,4903.607607,5153.932412,5272.664705,5557.29174,5871.520391,6091.10001,6476.388529,6436.226256,6863.444335,7084.623683,7089.999991,7170.412528,7293.698609,7431.439886,7561.744939,7862.206395,7828.837983,7555.244931,7173.555164,7076.523318,7368.74044,7468.096343,7521.886893,7671.1996,7885.2444,7963.297905,7639.186282,7527.310287,7614.904754,7779.938067,7966.130723,7990.997723,8066.584472,8066.759048,7960.727271,8114.226095,8220.757205,8013.156753,7938.107514,8298.27339,8365.39046,8365.392422,8422.733196,8350.591732,8091.829895,7690.446388,7654.641127,7710.270685,7631.187838,7661.952208,7772.234835,7681.963987,7936.49539,8166.271172,8158.329636,8116.538737,7485.622496,7601.816111,7632.300562,7418.42238,
Central Europe and the Baltics,CEB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,2611.214915,2666.458767,2769.254173,2785.949666,2925.664714,3055.991198,3195.305988,3347.35222,3407.4863,3404.423053,3265.245996,3338.939891,3321.966286,3291.908831,3367.007523,3434.537585,3516.414535,3497.115076,3371.984832,3096.349005,2844.622517,2619.828758,2612.60198,2507.847534,2613.55098,2702.897575,2643.579912,2521.256373,2398.705182,2381.778988,2463.924324,2488.202795,2575.756897,2584.47373,2629.4975,2703.241284,2711.277197,2714.543439,2531.701471,2657.423876,2658.73808,2585.095295,2544.176112,2486.645313,2528.081357,2589.171986,2707.765709,2762.891747,2699.268616,2621.27024,2806.531169,2684.357388,2800.402029,
Switzerland,CHE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1398.654836,1454.755116,1568.91106,1869.587498,1819.435337,1943.600516,1966.692137,2040.8279,2172.603883,2334.44403,2556.658707,2637.670782,2727.719217,2998.005183,2783.514537,2710.772924,2821.012886,2877.792909,2995.016825,3042.179155,3170.575472,3093.323276,2984.223263,3173.307578,3239.369965,3412.391109,3544.52206,3430.855513,3436.875833,3339.083472,3617.216708,3623.746543,3606.208401,3479.209439,3482.935604,3405.684781,3459.890617,3513.126397,3544.344954,3533.479413,3466.506132,3658.066499,3537.537503,3524.60536,3513.042268,3469.416643,3600.205991,3391.34093,3477.485447,3457.218673,3318.955711,3176.991729,3171.281711,3269.243856,3026.62428,2923.000055,2814.41129,2803.657972,2800.075196,2850.888518,2687.910022,2617.788779,2591.2411,2515.371931,
Channel Islands,CHI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,869.5511484,868.6632638,822.0685117,803.2930709,715.196252,745.6613618,761.0361674,776.3812581,808.9635609,823.5948056,824.4957045,745.0986117,759.1290737,786.7892425,773.0907764,795.348034,808.0004535,899.870025,992.2381414,1042.639247,1048.546851,1115.744498,1125.827606,1192.357923,1262.61938,1378.906843,1523.53565,1557.211311,1633.863389,1623.480127,1574.844759,1612.431302,1612.229536,1699.732407,1735.088744,1788.474426,1836.956205,1801.282882,1735.838952,1795.68173,1937.323396,2123.49179,2177.504919,1946.211817,1968.302862,2070.469582,2065.975717,2067.976474,2154.354519,1946.167606,2032.981204,2117.776081,1959.704568,
China,CHN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,464.933157,477.1687087,483.7173753,486.1679858,527.4883375,537.1747315,577.2110106,617.1549011,619.0436623,609.4551957,597.1467101,606.8304373,621.9107172,651.0749586,657.7597361,671.2095033,694.42236,720.3414958,724.1161051,769.6015249,736.8872034,752.6636417,788.1633877,816.1967708,866.8661798,881.6641747,872.3426114,868.3287973,876.9701928,897.4920226,920.5265833,972.2169991,1101.682723,1246.885248,1366.347381,1486.396175,1591.578304,1626.04809,1725.326423,1895.950462,2023.724705,2082.186104,2134.95605,2175.394345,2172.63044,2147.547824,2214.867267,2310.144701,2403.415074,2472.543148,2634.356682,2690.560349,,
